stat_id,player_id,team_id,season_id,games_played,games_started,rushing_yards,rushing_touchdowns,receiving_yards,receiving_touchdowns,kick_return_yards,fumbles,first_name,last_name,position,team_name,team_market
480,7202d860-5da9-11ef-8789-0b833c339564,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Enzo-Pierre,Tayou,DL,,
832,a1260010-91d0-11ec-8160-e9ab30ce3cc4,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Marcus,McKenzie,CB,,
512,8626b550-2ae0-11f0-9c90-c729826c945d,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Zaiden,Davis,LB,,
1074,53097090-c358-11ee-ba4d-459a0a6fb31a,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Coen,Echols,OL,,
704,486c92cc-9b66-477a-986a-7a01a8bdacb2,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Jacob,Conover,QB,,
544,affc4fb0-5da5-11ef-b82a-1f262d1bbcfa,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Roscoe,Burton,RB,,
1106,75964240-a1a9-11ed-8407-d326ef253fb2,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Tyree,Adams,OL,,
576,c63e0e20-2add-11f0-9c90-c729826c945d,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Jaylen,Patterson,QB,,
608,f1007e10-6a73-11f0-8b38-331fb0b112f4,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Terrione,Graves,WR,,
238,b9071ee0-4871-11ee-9e0e-63ed7dedca5c,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Justin,Hayes,LB,,
1037,408bc3c0-9ea4-11ed-975c-37b2dd34d160,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Rickey,Gibson,DB,,
507,7f7433a0-bb00-11ee-866e-cb10e982d405,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Elijah,Harvey,OL,,
137,6a685880-d8a9-11ee-b4ab-d9199a278cc1,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Cameren,Smith,RB,,
1069,4cf67650-1416-11ed-99ab-175543659a4f,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,AJ,DiNota,RB,,
539,a10efc90-283f-11f0-8b1f-69cbca63cd08,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,DJ,Hill-Smith,SAF,,
169,8b539af0-c9e5-11ee-998a-fb9969bce195,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Curtis,Simpson,DL,,
1261,d7ee95b0-68fc-11f0-ac1f-4d05c93da686,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Will,Hargett,WR,,
1101,6f4f6bd0-901d-11ec-8556-6fa97bcffaf0,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Micah,Riley,TE,,
